customer_id,billing_month,plan_price,discount_applied,final_billed_price,expected_revenue,actual_revenue,payment_delay_days,refund_amount,content_hours_available,content_hours_consumed,active_days,login_count,device_count,customer_tenure_months,support_tickets,auto_renew,churn_flag,marketing_channel,region
100001,Jan-2024,1299,11.77842888219189,1287.221571117808,1290.8118170530756,1117.704315416171,1.0,154.51725570163683,149,79.030727422791,19,7,1,39,0,No,0,Paid Search,West
100002,Jan-2024,1499,260.70762202177707,1238.292377978223,1459.1475546982808,1200.5974267242138,,22.694951254009055,140,43.51303098823083,0,12,2,57,4,No,1,Organic,West
100003,Jan-2024,999,226.36388733035164,772.6361126696484,990.4903445345345,750.8929470718294,1.0,6.743165597818972,93,90.91992682084908,24,14,1,28,1,Yes,1,Referral,West
100004,Jan-2024,1499,110.72157644701724,1388.2784235529828,1512.8517790536685,1310.3170770536124,4.0,17.961346499370478,249,93.74395491125026,15,11,3,30,1,Yes,0,Paid Search,East
100005,Jan-2024,1499,11.739674457597744,1487.2603255424024,1564.4152083335766,1449.9877571004654,2.0,7.272568441936926,236,121.0536635046822,15,11,5,22,0,No,0,Referral,West
100006,Jan-2024,699,171.3636881615247,527.6363118384753,698.9611909673696,388.31209577110474,3.0,,177,44.16454338587278,28,9,1,50,0,Yes,0,Organic,South
100007,Jan-2024,999,164.7727301505131,834.2272698494869,1037.747513293398,706.251495409108,1.0,112.97577444037898,72,55.69444123178313,9,11,5,54,0,Yes,0,Referral,North
100008,Jan-2024,999,260.9201139590138,738.0798860409861,1047.4071414310913,495.5438316308325,,167.53605441015364,239,19.14236927772095,23,13,1,23,1,Yes,0,Paid Search,West
100009,Jan-2024,999,96.75173821674117,902.2482617832588,1004.895941156466,751.8379096580964,8.0,30.410352125162433,72,131.60481277057278,16,9,1,18,1,No,1,Paid Search,North
100010,Jan-2024,1499,293.39065618379954,1205.6093438162004,1446.0956290620309,1025.8941821633289,5.0,104.71516165287156,283,38.303012008562106,28,11,4,17,2,Yes,1,Organic,West
100011,Jan-2024,1299,85.16963959970792,1213.8303604002922,1347.7531513199492,1080.8008249726834,1.0,118.02953542760882,235,14.520294289039619,9,8,5,54,1,Yes,0,Referral,East
